Dataset,CV_Folds,Method,Replication_ACC,Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Paper_ACC,Paper_AUC,Paper_F1,Paper_AP,Paper_GMean,Status
CARGOOD,100,HUE,95.44,0.9686,0.6382,0.4737,0.9797,,,,,,OK
CARVGOOD,100,CSRBoost,99.94,0.9836,0.9598,0.9255,0.9977,99.94,0.98,0.96,0.93,1.00,OK
CARVGOOD,100,SMOTified-GAN,92.60,0.9961,0.9227,0.9865,0.8200,,,,,,OK
CARVGOOD,100,GAN,94.74,0.9961,0.9503,0.9906,0.9223,,,,,,OK
CARVGOOD,100,ADASYN,99.58,0.9909,0.9767,0.9730,0.9846,,,,,,OK
CARVGOOD,100,Borderline-SMOTE,99.89,0.9925,0.9927,0.9936,0.9980,,,,,,OK
CARVGOOD,100,SMOTE-Tomek,99.58,0.9885,0.9768,0.9731,0.9861,,,,,,OK
CARVGOOD,100,SMOTE-ENN,99.01,0.9902,0.9695,0.9246,0.9810,,,,,,OK
CARVGOOD,100,AdaBoost,99.88,0.9916,0.9841,0.9712,0.9849,,,,,,OK
CARVGOOD,100,RUSBoost,98.31,0.9906,0.8281,0.7171,0.9905,,,,,,OK
CARVGOOD,100,HUE,98.62,0.9893,0.8229,0.7332,0.9907,,,,,,OK
FLARE-F,20,CSRBoost,93.62,0.6339,0.2011,0.1008,0.4670,93.43,0.67,0.22,0.10,0.48,OK
FLARE-F,20,SMOTified-GAN,95.88,0.9426,0.9599,0.5000,0.4404,,,,,,OK
FLARE-F,20,GAN,95.08,0.9508,0.9477,0.4995,0.5160,,,,,,OK
FLARE-F,20,ADASYN,95.23,0.6436,0.2735,0.1183,0.5464,,,,,,OK
FLARE-F,20,Borderline-SMOTE,94.81,0.6008,0.3010,0.0711,0.4419,,,,,,OK
FLARE-F,20,SMOTE-Tomek,94.54,0.5462,0.2798,0.1211,0.5550,,,,,,OK
FLARE-F,20,SMOTE-ENN,92.30,0.7228,0.3446,0.1663,0.6769,,,,,,OK
FLARE-F,20,AdaBoost,94.40,0.5408,0.1872,0.0802,0.4215,,,,,,OK
FLARE-F,20,RUSBoost,83.88,0.8087,0.3039,0.1450,0.8265,,,,,,OK
FLARE-F,20,HUE,83.53,0.8583,0.2552,0.1668,0.8552,,,,,,OK
